Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetition,Adjusted Rand Index,Modularity,Seconds,Moves,Converged,Final Coalitions,Initial Adjusted Rand Index
LocPop,Random-25,AF,Ld,0.2,0.2,2,0.953004325866872,0.8399267154487843,0.006558699999004602,32.0,1.0,30.0,0.8764720294216669
LocPop,Random-25,AF,S,0.2,0.2,2,0.898437993692229,0.8165900037496148,0.0276140000205487,236.0,1.0,34.0,0.0
LocPop,Random-25,AF,P,0.2,0.2,2,0.8878098586238303,0.8152423699050716,0.02275589993223548,246.0,1.0,35.0,0.0028077991843459393
LocPop,Random-25,AE,Ld,0.2,0.2,2,0.9289015016869941,0.8271965874792564,0.0065299998968839645,36.0,1.0,36.0,0.8530949468334292
LocPop,Random-25,AE,S,0.2,0.2,2,0.9141259171233808,0.8181529620100905,0.026230799965560436,234.0,1.0,38.0,0.0
LocPop,Random-25,AE,P,0.2,0.2,2,0.8994176128007529,0.8120310661157332,0.024606900056824088,248.0,1.0,38.0,3.529619389375846e-05
LocPop,Random-25,B,Ld,0.25,0.35,2,0.5927192137746099,0.7038324033546058,0.008614800055511296,60.0,1.0,22.0,0.632003190481645
LocPop,Random-25,B,S,0.25,0.35,2,0.5053956105431284,0.7262205738766934,0.03210060007404536,268.0,1.0,19.0,0.0
LocPop,Random-25,B,P,0.25,0.35,2,0.48066298342541436,0.6895968607185152,0.02632529998663813,262.0,1.0,21.0,-0.004834254143646409
LocPop,Random-25,AF,Ld,0.25,0.35,2,0.5108082488993744,0.7033330734590383,0.010121100000105798,83.0,1.0,22.0,0.5787153239611204
LocPop,Random-25,AF,S,0.25,0.35,2,0.4814355550256349,0.7061285783762311,0.030923399957828224,268.0,1.0,20.0,0.0
LocPop,Random-25,AF,P,0.25,0.35,2,0.48679412494054614,0.696344311166056,0.023864699993282557,262.0,1.0,21.0,-0.003130221270056791
LocPop,Random-25,AE,Ld,0.25,0.35,2,0.6095482798360129,0.7098354995712074,0.008592099999077618,53.0,1.0,23.0,0.6635647836220688
LocPop,Random-25,AE,S,0.25,0.35,2,0.5354189808911691,0.7117567131099157,0.03154530003666878,265.0,1.0,22.0,0.0
LocPop,Random-25,AE,P,0.25,0.35,2,0.4779874213836478,0.6785113657879203,0.026516999932937324,269.0,1.0,24.0,-0.0078098486951999405
LocPop,Random-25,B,Ld,0.4,0.4,2,0.20315908251526796,0.6102052635682226,0.01909489999525249,194.0,1.0,14.0,0.23967085372198596
LocPop,Random-25,B,S,0.4,0.4,2,0.19600568222783862,0.5894431636354186,0.038162500015459955,320.0,1.0,12.0,0.0
LocPop,Random-25,B,P,0.4,0.4,2,0.23482610023992803,0.6271008052390658,0.027957299957051873,305.0,1.0,11.0,0.0018160181345434423
LocPop,Random-25,AF,Ld,0.4,0.4,2,0.2027380503814376,0.633083482761053,0.027433900046162307,228.0,1.0,11.0,0.2272258962743745
LocPop,Random-25,AF,S,0.4,0.4,2,0.1962300243095684,0.5989285754062392,0.039079700014553964,313.0,1.0,12.0,0.0
LocPop,Random-25,AF,P,0.4,0.4,2,0.22211524399161509,0.6358103066145433,0.026450000004842877,264.0,1.0,12.0,0.002608102179105933
LocPop,Random-25,AE,Ld,0.4,0.4,2,0.2318806031143312,0.6394801029102208,0.0198092000791803,203.0,1.0,13.0,0.2610736434703329
LocPop,Random-25,AE,S,0.4,0.4,2,0.22189406908720447,0.5979187781453142,0.03644430008716881,290.0,1.0,13.0,0.0
LocPop,Random-25,AE,P,0.4,0.4,2,0.23341520710781427,0.6257457464146629,0.0279918999876827,297.0,1.0,11.0,0.0016446135693468015
