Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetitions,Adjusted Rand Index,Adjusted Rand Index SD,Silhouette Score,Silhouette Score SD,Seconds,Seconds SD,Moves,Moves SD,Converged,Converged SD,Final Coalitions,Final Coalitions SD,Initial Adjusted Rand Index,Initial Adjusted Rand Index SD
LocStab,Cancer,AE,S,0.25,0.35,10,0.3204351491276251,0.10932439380341005,0.13782171381588265,0.04891105236689882,0.5245929000084288,0.02845674415777628,555.8,29.040661149498646,1.0,0.0,28.3,1.1,0.0,0.0
LocStab,Cancer,AE,P,0.25,0.35,10,0.21518662840763417,0.15246832676907277,0.11329236371830576,0.0890023691396859,0.09933955000014975,0.011304588760033584,264.3,31.54377910143298,1.0,0.0,18.0,0.8944271909999159,0.074028576061685,0.05075257336294887
LocStab,Cancer,AE,KM,0.25,0.35,10,0.4243328649627621,0.0,0.26211243702490944,3.0404709722440586e-17,0.04294456002535298,0.0009404266010511625,92.6,1.2,1.0,0.0,17.0,0.0,0.5964782645402646,0.004647265813162882
LocStab,Cancer,AE,D,0.25,0.35,10,0.1950524380367737,0.0,0.20898707028187818,1.5202354861220293e-17,0.04566414000000805,0.000678899500021778,104.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0
LocStab,Cancer,B,S,0.4,0.4,10,0.05883367039254359,1.3438492307522194e-05,0.3452104679057094,0.0062076556995749,0.3128950199810788,0.00734156341631919,562.1,1.5132745950421556,1.0,0.0,8.2,0.4,0.0,0.0
LocStab,Cancer,B,P,0.4,0.4,10,0.05882845926521364,1.2004220494628897e-05,0.3482910541523493,0.00011123186429124299,0.11762084002839401,0.005770800063080743,313.9,10.28056418685278,1.0,0.0,8.0,0.0,2.1703863403893986e-05,0.00025803830493891005
LocStab,Cancer,B,KM,0.4,0.4,10,0.05884316137269948,0.0,0.3484272848076753,0.0,0.06600552998716011,0.002941937383545517,173.8,1.6,1.0,0.0,8.0,0.0,0.10259569713700947,0.000671950181398251
LocStab,Cancer,B,D,0.4,0.4,10,0.05884316137269948,0.0,0.3484272848076753,0.0,0.022342099982779473,0.00021771323088579415,34.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0
LocStab,Cancer,AF,S,0.4,0.4,10,0.05812565625434836,0.002417467880414674,0.3517791316827061,0.004818106404194472,0.315032149979379,0.005986530773013946,562.0,1.0954451150103321,1.0,0.0,7.8,0.39999999999999997,0.0,0.0
LocStab,Cancer,AF,P,0.4,0.4,10,0.03648812159255337,0.022414716368286843,0.4499273450138571,0.047998392797637596,0.10096049997955561,0.009858909361019377,282.4,8.616263691415206,1.0,0.0,2.8,0.8717797887081347,0.0007307484675161391,0.000770852631432808
LocStab,Cancer,AF,KM,0.4,0.4,10,0.06296928955211265,0.0007041908207086389,0.4622348796017435,0.04577314226992794,0.06291513997130097,0.0029923956819933426,161.0,2.0,1.0,0.0,2.2,0.39999999999999997,0.10959573613779972,0.0015827700277471488
LocStab,Cancer,AF,D,0.4,0.4,10,0.0,0.0,,,0.010983399988617748,0.00029787913690465604,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
